127.0.0.1 - - [19/Oct/2022:14:20:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/common/loginForm.do;jsessionid=80C58944B8996B305644539492A38095 HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/resources/img/%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:39 +0900] "GET /ai/resources/js/pdf.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:40 +0900] "GET /ai/resources/bootstrap/assets/images/down-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:40 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "POST /ai/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "GET /ai/index HTTP/1.1" 200 31433
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "GET /ai/main.do HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "GET /ai/main.do HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:42 +0900] "GET /ai/menu.do?mCode=M000000 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:51 +0900] "GET /ai/subMenu.do?mCode=M090000 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:53 +0900] "GET /ai/subMenu.do?mCode=M100000 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:54 +0900] "GET /ai/common/scSchedule/calendar.do HTTP/1.1" 200 22730
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:54 +0900] "GET /ai/menu.do?mCode=M100100 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:54 +0900] "GET /ai/resources/bootstrap/assets/vendor/full-calendar/css/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:54 +0900] "GET /ai/resources/bootstrap/assets/vendor/full-calendar/js/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:20:54 +0900] "GET /ai/resources/bootstrap/assets/vendor/full-calendar/js/moment.min.js HTTP/1.1" 304 -
