0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:38 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:39 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:39 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:39 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:39 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:41 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:41 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:42 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:43 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:43 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:44 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:44 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:44 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:44 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:45 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:45 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:45 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:35:45 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:36 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:37 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:37 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:37 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:37 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:37 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:36:38 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:37:13 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:24 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:24 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:24 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:24 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:25 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:27 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:32 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:32 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:32 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:32 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:33 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:34 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:39:34 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:15 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:15 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:15 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:15 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:16 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:17 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:17 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:19 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:19 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:21 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:23 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:23 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:44 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:44 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:44 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:44 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:45 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:46 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13535
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:46 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:54 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:40:55 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:23 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:23 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:23 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:41:24 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13553
