127.0.0.1 - - [14/Nov/2022:09:16:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:50 +0900] "GET /ai/index?mCode=M080200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:50 +0900] "GET /ai/common/loginForm.do;jsessionid=F89ADDEBCA6DC66128DEDE4504998654 HTTP/1.1" 200 5898
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/fontawesome/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/libs/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/css/summernote-bs4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/flag-icon-css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/c3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/js/datedropper-javascript-lang-KO.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/js/datedropper-javascript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/img/%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/libs/js/main-js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/CircularStd-Book.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "GET /ai/resources/js/pdf.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:51 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:53 +0900] "POST /ai/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2022:09:16:53 +0900] "GET /ai/index?mCode=M080200 HTTP/1.1" 200 31280
