127.0.0.1 - - [11/Oct/2022:13:48:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/stu/aca/tl/applyPage HTTP/1.1" 200 13618
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/circular-std/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/libs/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/fontawesome/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/c3charts/c3.css HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/css/common.css HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/js/datedropper-javascript-lang-KO.js HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/flag-icon-css/flag-icon.min.css HTTP/1.1" 200 12601
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css HTTP/1.1" 200 77582
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/js/datedropper-javascript.js HTTP/1.1" 200 32510
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/slimscroll/jquery.slimscroll.js HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/libs/js/main-js.js HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js HTTP/1.1" 200 40214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/sparkline/jquery.sparkline.js HTTP/1.1" 200 123446
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 200 210612
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.js HTTP/1.1" 200 73551
0:0:0:0:0:0:0:1 - - [11/Oct/2022:13:48:55 +0900] "GET /ddit/resources/bootstrap/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
