127.0.0.1 - - [04/Oct/2022:09:04:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:04:51 +0900] "GET /ddit/WEB-INF/views/exercise/detail.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:04:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:02 +0900] "GET /ddit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:02 +0900] "GET /ddit/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:03 +0900] "GET /ddit/common/loginForm.do HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/index.do HTTP/1.1" 200 12192
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/dist/img/user8-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/dist/img/user3-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/dist/img/user1-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/member/getPicture.do?id=mimi HTTP/1.1" 201 35091
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:04 +0900] "GET /ddit/main.do HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:07 +0900] "GET /ddit/pds/main.do HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:07 +0900] "GET /ddit/subMenu.do?mCode=M040000 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:05:08 +0900] "GET /ddit/member/main.do HTTP/1.1" 404 721
