0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/stu/score/semester/list HTTP/1.1" 200 18762
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/main.do HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/stu/score/semester/assets/images/avatar-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/menu.do?mCode=M040100 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/subMenu.do?mCode=M040000 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:24 +0900] "GET /ai/resources/js/pdf.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:17:25 +0900] "GET /ai/index?mCode=M040100 HTTP/1.1" 200 30787
