127.0.0.1 - - [28/Nov/2022:09:49:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:29 +0900] "GET /ai/prof/counsel/stu/list.do HTTP/1.1" 500 10663
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/common/loginForm.do HTTP/1.1" 200 9070
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/resources/img/pop2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/resources/img/pop3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/resources/img/pop1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "GET /ai/resources/img/loginbackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:35 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:38 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [28/Nov/2022:09:50:42 +0900] "GET /ai/prof/counsel/stu/list.do HTTP/1.1" 500 10663
